uri,notation,label_es,label_en,label_pt
http://www.vocabularyserver.com/tbci/?tema=206,,ns1:206,ns1:206,análise semântica
http://www.vocabularyserver.com/tbci/?tema=215,,  análisis semântico,ns1:215,ns1:215
http://www.vocabularyserver.com/tbci/?tema=214,,ns1:214,  semantic analysis,ns1:214
http://www.vocabularyserver.com/tbci/?tema=218,,ns1:218,ns1:218,animação assistida por computador
http://www.vocabularyserver.com/tbci/?tema=219,,ns1:219,  animation,ns1:219
http://www.vocabularyserver.com/tbci/?tema=222,,ns1:222,ns1:222,antonímia
http://www.vocabularyserver.com/tbci/?tema=223,,ns1:223,  antonymy,ns1:223
http://www.vocabularyserver.com/tbci/?tema=224,,ns1:224,ns1:224,antropologia
http://www.vocabularyserver.com/tbci/?tema=225,,ns1:225,  anthropology,ns1:225
http://www.vocabularyserver.com/tbci/?tema=227,,ns1:227,ns1:227,anuários
http://www.vocabularyserver.com/tbci/?tema=229,,  anuários,ns1:229,ns1:229
http://www.vocabularyserver.com/tbci/?tema=228,,ns1:228,  yearbooks,ns1:228
http://www.vocabularyserver.com/tbci/?tema=237,,ns1:237,ns1:237,aplicações de computador
http://www.vocabularyserver.com/tbci/?tema=239,," automatización, aplicaciones del computador",ns1:239,ns1:239
http://www.vocabularyserver.com/tbci/?tema=238,,ns1:238," computer applications (UF automation, computerized operations)",ns1:238
http://www.vocabularyserver.com/tbci/?tema=230,,ns1:230,ns1:230,aplicativos
http://www.vocabularyserver.com/tbci/?tema=257,,ns1:257,ns1:257,aprendizado de máquina
http://www.vocabularyserver.com/tbci/?tema=258,,ns1:258,machine learning (UF computer learning),ns1:258
http://www.vocabularyserver.com/tbci/?tema=264,,ns1:264,ns1:264,aquisição de conhecimento
http://www.vocabularyserver.com/tbci/?tema=265,,ns1:265,knowledge acquisition,ns1:265
http://www.vocabularyserver.com/tbci/?tema=269,,ns1:269,ns1:269,aquisição de documentos
http://www.vocabularyserver.com/tbci/?tema=271,,adquisición de documento; políticas de adquisición,ns1:271,ns1:271
http://www.vocabularyserver.com/tbci/?tema=270,,ns1:270,materials acquisitions,ns1:270
http://www.vocabularyserver.com/tbci/?tema=278,,ns1:278,ns1:278,áreas do conhecimento
http://www.vocabularyserver.com/tbci/?tema=279,,ns1:279,  fields and disciplines,ns1:279
http://www.vocabularyserver.com/tbci/?tema=3126,8.,ns1:3126,ns1:3126,Áreas do Conhecimento
http://www.vocabularyserver.com/tbci/?tema=286,,ns1:286,ns1:286,armazenamento compacto
http://www.vocabularyserver.com/tbci/?tema=287,,ns1:287,compact storage (UF compact shelving),ns1:287
http://www.vocabularyserver.com/tbci/?tema=291,,ns1:291,ns1:291,armazenamento de dados
http://www.vocabularyserver.com/tbci/?tema=292,,ns1:292,data warehousing,ns1:292
http://www.vocabularyserver.com/tbci/?tema=289,,ns1:289,ns1:289,armazenamento de documentos
http://www.vocabularyserver.com/tbci/?tema=297,,  almacenamiento de documentos,ns1:297,ns1:297
http://www.vocabularyserver.com/tbci/?tema=296,,ns1:296,"  materials storage (UF document storage, shelving)",ns1:296
http://www.vocabularyserver.com/tbci/?tema=301,,ns1:301,ns1:301,arqueologia
http://www.vocabularyserver.com/tbci/?tema=302,,ns1:302,ns1:302,arquitetos de informação
http://www.vocabularyserver.com/tbci/?tema=303,,ns1:303,  information architects,ns1:303
http://www.vocabularyserver.com/tbci/?tema=305,,ns1:305,ns1:305,arquitetura de informação
http://www.vocabularyserver.com/tbci/?tema=306,,ns1:306, information architecture,ns1:306
http://www.vocabularyserver.com/tbci/?tema=311,,ns1:311,ns1:311,arquitetura e urbanismo
http://www.vocabularyserver.com/tbci/?tema=312,,ns1:312,  architecture,ns1:312
http://www.vocabularyserver.com/tbci/?tema=316,,ns1:316,ns1:316,arquivistas
http://www.vocabularyserver.com/tbci/?tema=318,,  archivistas,ns1:318,ns1:318
http://www.vocabularyserver.com/tbci/?tema=317,,ns1:317,"  archivists, records managers",ns1:317
http://www.vocabularyserver.com/tbci/?tema=319,,ns1:319,ns1:319,arquivologia
http://www.vocabularyserver.com/tbci/?tema=322,,ns1:322,  archival science (UF archivistics),ns1:322
http://www.vocabularyserver.com/tbci/?tema=323,,  archivología,ns1:323,ns1:323
http://www.vocabularyserver.com/tbci/?tema=320,,ns1:320,ns1:320,arquivos (instituição)
http://www.vocabularyserver.com/tbci/?tema=327,,ns1:327,"  archives (UF archival storage, historical records)",ns1:327
http://www.vocabularyserver.com/tbci/?tema=328,,  archivos (institución),ns1:328,ns1:328
http://www.vocabularyserver.com/tbci/?tema=336,,ns1:336,ns1:336,arquivos estaduais
http://www.vocabularyserver.com/tbci/?tema=337,,ns1:337,ns1:337,arquivos municipais
http://www.vocabularyserver.com/tbci/?tema=338,,ns1:338,ns1:338,arquivos nacionais
http://www.vocabularyserver.com/tbci/?tema=340,,  archivos nacionales,ns1:340,ns1:340
http://www.vocabularyserver.com/tbci/?tema=339,,ns1:339,  national archives,ns1:339
http://www.vocabularyserver.com/tbci/?tema=330,,ns1:330,ns1:330,arquivos privados
http://www.vocabularyserver.com/tbci/?tema=342,,  archivos privados,ns1:342,ns1:342
http://www.vocabularyserver.com/tbci/?tema=331,,ns1:331,ns1:331,arquivos públicos
http://www.vocabularyserver.com/tbci/?tema=344,,ns1:344,  public records/archives,ns1:344
http://www.vocabularyserver.com/tbci/?tema=345,,ns1:345,ns1:345,arranjo
http://www.vocabularyserver.com/tbci/?tema=346,,ns1:346,  arrangement (UF filing),ns1:346
http://www.vocabularyserver.com/tbci/?tema=110,,ns1:110,ns1:110,arranjo alfabético
http://www.vocabularyserver.com/tbci/?tema=350,,ns1:350,"  alphabetical arrangement (UF alphabetical order, alphabetization)",ns1:350
http://www.vocabularyserver.com/tbci/?tema=351,,  arreglo alfabético,ns1:351,ns1:351
http://www.vocabularyserver.com/tbci/?tema=347,,ns1:347,ns1:347,arranjo cronológico
http://www.vocabularyserver.com/tbci/?tema=354,,  arreglo cronológico,ns1:354,ns1:354
http://www.vocabularyserver.com/tbci/?tema=353,,ns1:353,  temporal arrangement (UF chronological order),ns1:353
http://www.vocabularyserver.com/tbci/?tema=348,,ns1:348,ns1:348,arranjo sistemático
http://www.vocabularyserver.com/tbci/?tema=356,,  arreglo sistemático,ns1:356,ns1:356
http://www.vocabularyserver.com/tbci/?tema=355,,ns1:355,  systematic arrangement (UF classified arrangement),ns1:355
http://www.vocabularyserver.com/tbci/?tema=359,,ns1:359,ns1:359,artefatos
http://www.vocabularyserver.com/tbci/?tema=360,,ns1:360,  physical objects (UF realia),ns1:360
http://www.vocabularyserver.com/tbci/?tema=364,,ns1:364,ns1:364,artes
http://www.vocabularyserver.com/tbci/?tema=365,,ns1:365,  fine arts (UF art),ns1:365
http://www.vocabularyserver.com/tbci/?tema=367,,ns1:367,ns1:367,artigos de periódico
http://www.vocabularyserver.com/tbci/?tema=369,,  artículos de revista (UP artículos científicos),ns1:369,ns1:369
http://www.vocabularyserver.com/tbci/?tema=368,,ns1:368,  periodical articles (UF journal articles),ns1:368
http://www.vocabularyserver.com/tbci/?tema=372,,ns1:372,ns1:372,assinatura
http://www.vocabularyserver.com/tbci/?tema=374,, subscripción,ns1:374,ns1:374
http://www.vocabularyserver.com/tbci/?tema=373,,ns1:373, subscriptions,ns1:373
http://www.vocabularyserver.com/tbci/?tema=378,,ns1:378,ns1:378,associações de bibliotecas
http://www.vocabularyserver.com/tbci/?tema=380,,asociaciones de bibliotecas,ns1:380,ns1:380
http://www.vocabularyserver.com/tbci/?tema=379,,ns1:379,library associations,ns1:379
http://www.vocabularyserver.com/tbci/?tema=382,,ns1:382,ns1:382,associações de elaboração de normas
http://www.vocabularyserver.com/tbci/?tema=383,,ns1:383,"standards developing organizations (UF ANSI, ISO, NISO, W3C)",ns1:383
http://www.vocabularyserver.com/tbci/?tema=390,,ns1:390,ns1:390,associações profissionais
http://www.vocabularyserver.com/tbci/?tema=392,,asociaciones profesionales (UP sociedades profesionales),ns1:392,ns1:392
http://www.vocabularyserver.com/tbci/?tema=391,,ns1:391,professional associations (professional societies),ns1:391
http://www.vocabularyserver.com/tbci/?tema=396,,ns1:396,ns1:396,astronomia
http://www.vocabularyserver.com/tbci/?tema=397,,ns1:397,astronomy,ns1:397
http://www.vocabularyserver.com/tbci/?tema=398,,ns1:398,ns1:398,atividades promocionais
http://www.vocabularyserver.com/tbci/?tema=399,,ns1:399,promotional activities (UF publicity),ns1:399
http://www.vocabularyserver.com/tbci/?tema=403,,ns1:403,ns1:403,atlas
http://www.vocabularyserver.com/tbci/?tema=405,,atlas,ns1:405,ns1:405
http://www.vocabularyserver.com/tbci/?tema=404,,ns1:404,atlases,ns1:404
http://www.vocabularyserver.com/tbci/?tema=138,,ns1:138,ns1:138,atributos da informação
http://www.vocabularyserver.com/tbci/?tema=419,,ns1:419,ns1:419,atributos de programas de computador
http://www.vocabularyserver.com/tbci/?tema=426,,ns1:426,ns1:426,atualização
http://www.vocabularyserver.com/tbci/?tema=427,,ns1:427,updating,ns1:427
http://www.vocabularyserver.com/tbci/?tema=15,,ns1:15,ns1:15,audiodescrição
http://www.vocabularyserver.com/tbci/?tema=438,,ns1:438,ns1:438,audiolivros
http://www.vocabularyserver.com/tbci/?tema=440,,libros parlantes (UP libros hablados),ns1:440,ns1:440
http://www.vocabularyserver.com/tbci/?tema=439,,ns1:439,talking books,ns1:439
http://www.vocabularyserver.com/tbci/?tema=446,,ns1:446,ns1:446,auditoria
http://www.vocabularyserver.com/tbci/?tema=447,,ns1:447,auditing,ns1:447
http://www.vocabularyserver.com/tbci/?tema=448,,auditoría,ns1:448,ns1:448
http://www.vocabularyserver.com/tbci/?tema=45,,ns1:45,ns1:45,autoarquivamento de documentos
http://www.vocabularyserver.com/tbci/?tema=450,,ns1:450,  [self-archiving],ns1:450
http://www.vocabularyserver.com/tbci/?tema=164,,ns1:164,ns1:164,autocitação
http://www.vocabularyserver.com/tbci/?tema=452,,ns1:452,self citation,ns1:452
http://www.vocabularyserver.com/tbci/?tema=243,,ns1:243,ns1:243,automação de bibliotecas
http://www.vocabularyserver.com/tbci/?tema=454,,automatización de bibliotecas,ns1:454,ns1:454
http://www.vocabularyserver.com/tbci/?tema=453,,ns1:453,library automation,ns1:453
http://www.vocabularyserver.com/tbci/?tema=244,,ns1:244,ns1:244,automação de escritórios
http://www.vocabularyserver.com/tbci/?tema=458,,ns1:458,office automation (UF electronic offices),ns1:458
http://www.vocabularyserver.com/tbci/?tema=460,,ns1:460,ns1:460,autopublicação
http://www.vocabularyserver.com/tbci/?tema=461,,ns1:461,  self publishing,ns1:461
http://www.vocabularyserver.com/tbci/?tema=464,,ns1:464,ns1:464,autoria
http://www.vocabularyserver.com/tbci/?tema=465,,ns1:465,  authorship (UF writing),ns1:465
http://www.vocabularyserver.com/tbci/?tema=466,,  autores (UP autoría),ns1:466,ns1:466
http://www.vocabularyserver.com/tbci/?tema=467,,ns1:467,ns1:467,autoria coletiva
http://www.vocabularyserver.com/tbci/?tema=475,,ns1:475,  joint authorship (UF coauthorship),ns1:475
http://www.vocabularyserver.com/tbci/?tema=468,,ns1:468,ns1:468,autoria individual
http://www.vocabularyserver.com/tbci/?tema=482,,  autores personales,ns1:482,ns1:482
http://www.vocabularyserver.com/tbci/?tema=481,,ns1:481,  personal authorship,ns1:481
http://www.vocabularyserver.com/tbci/?tema=478,,ns1:478,ns1:478,autoria principal
http://www.vocabularyserver.com/tbci/?tema=485,,ns1:485,ns1:485,auxiliares de biblioteca
http://www.vocabularyserver.com/tbci/?tema=487,,auxiliares de biblioteca (UP ayudantes de biblioteca),ns1:487,ns1:487
http://www.vocabularyserver.com/tbci/?tema=486,,ns1:486,paraprofessional library personnel ( UF library assistants),ns1:486
http://www.vocabularyserver.com/tbci/?tema=491,,ns1:491,ns1:491,avaliação
http://www.vocabularyserver.com/tbci/?tema=493,,evaluación,ns1:493,ns1:493
http://www.vocabularyserver.com/tbci/?tema=492,,ns1:492,evaluation,ns1:492
http://www.vocabularyserver.com/tbci/?tema=500,,ns1:500,ns1:500,avaliação da coleção
http://www.vocabularyserver.com/tbci/?tema=501,,ns1:501,collection assessment,ns1:501
http://www.vocabularyserver.com/tbci/?tema=502,,evaluación de la colección,ns1:502,ns1:502
http://www.vocabularyserver.com/tbci/?tema=503,,ns1:503,ns1:503,avaliação de publicações científicas
http://www.vocabularyserver.com/tbci/?tema=505,, evaluación de revistas,ns1:505,ns1:505
http://www.vocabularyserver.com/tbci/?tema=504,,ns1:504, reviewing,ns1:504
http://www.vocabularyserver.com/tbci/?tema=510,,ns1:510,ns1:510,balanced scorecard
http://www.vocabularyserver.com/tbci/?tema=515,,ns1:515,ns1:515,barreiras linguísticas
http://www.vocabularyserver.com/tbci/?tema=514,,barrera idiomática (UP barrera ling³ística),ns1:514,ns1:514
http://www.vocabularyserver.com/tbci/?tema=513,,ns1:513,language barriers,ns1:513
http://www.vocabularyserver.com/tbci/?tema=518,,ns1:518,ns1:518,bases de dados
http://www.vocabularyserver.com/tbci/?tema=520,,bases de datos (UP bancos de información),ns1:520,ns1:520
http://www.vocabularyserver.com/tbci/?tema=519,,ns1:519,"databases (UF data banks, data files, data warehouses, files)",ns1:519
http://www.vocabularyserver.com/tbci/?tema=523,,ns1:523,ns1:523,bases de dados bibliográficos
http://www.vocabularyserver.com/tbci/?tema=539,,bases de datos bibliográficos,ns1:539,ns1:539
http://www.vocabularyserver.com/tbci/?tema=538,,ns1:538,bibliographic databases,ns1:538
http://www.vocabularyserver.com/tbci/?tema=524,,ns1:524,ns1:524,bases de dados científicos
http://www.vocabularyserver.com/tbci/?tema=525,,ns1:525,ns1:525,bases de dados de imagens
http://www.vocabularyserver.com/tbci/?tema=549,,  bases de datos de imágenes,ns1:549,ns1:549
http://www.vocabularyserver.com/tbci/?tema=548,,ns1:548,  image databases,ns1:548
http://www.vocabularyserver.com/tbci/?tema=526,,ns1:526,ns1:526,bases de dados de textos completos
http://www.vocabularyserver.com/tbci/?tema=554,,  bases de datos de texto completo,ns1:554,ns1:554
http://www.vocabularyserver.com/tbci/?tema=553,,ns1:553,"  full text databases (UF full text information systems, text databases)",ns1:553
http://www.vocabularyserver.com/tbci/?tema=3117,,ns1:3117,ns1:3117,Bases de dados e extração da informação
http://www.vocabularyserver.com/tbci/?tema=527,,ns1:527,ns1:527,bases de dados em linha
http://www.vocabularyserver.com/tbci/?tema=558,,ns1:558,  online databases,ns1:558
http://www.vocabularyserver.com/tbci/?tema=528,,ns1:528,ns1:528,bases de dados factuais
http://www.vocabularyserver.com/tbci/?tema=560,,  banco de datos factuales,ns1:560,ns1:560
http://www.vocabularyserver.com/tbci/?tema=559,,ns1:559,  fact databases (UF factual databases),ns1:559
http://www.vocabularyserver.com/tbci/?tema=529,,ns1:529,ns1:529,bases de dados numéricos
http://www.vocabularyserver.com/tbci/?tema=564,,  bancos de datos numéricos,ns1:564,ns1:564
http://www.vocabularyserver.com/tbci/?tema=563,,ns1:563,"  numeric databases (UF data sets, statistical databases)",ns1:563
http://www.vocabularyserver.com/tbci/?tema=530,,ns1:530,ns1:530,bases de dados referenciais
http://www.vocabularyserver.com/tbci/?tema=566,,ns1:566, community resource files,ns1:566
http://www.vocabularyserver.com/tbci/?tema=567,,banco de datos referativos,ns1:567,ns1:567
http://www.vocabularyserver.com/tbci/?tema=569,,ns1:569,ns1:569,BD
http://www.vocabularyserver.com/tbci/?tema=572,,ns1:572,ns1:572,benchmarking
http://www.vocabularyserver.com/tbci/?tema=541,,ns1:541,ns1:541,bibliografias
http://www.vocabularyserver.com/tbci/?tema=574,,bibliografías,ns1:574,ns1:574
http://www.vocabularyserver.com/tbci/?tema=573,,ns1:573,bibliographies,ns1:573
http://www.vocabularyserver.com/tbci/?tema=575,,ns1:575,ns1:575,bibliografias nacionais
http://www.vocabularyserver.com/tbci/?tema=577,,bibliografías nacionales,ns1:577,ns1:577
http://www.vocabularyserver.com/tbci/?tema=576,,ns1:576,national bibliographies,ns1:576
http://www.vocabularyserver.com/tbci/?tema=163,,ns1:163,ns1:163,bibliometria
http://www.vocabularyserver.com/tbci/?tema=579,,bibliometría (UP análisis bibliométrico),ns1:579,ns1:579
http://www.vocabularyserver.com/tbci/?tema=578,,ns1:578,bibliometrics (UF co-word analysis),ns1:578
http://www.vocabularyserver.com/tbci/?tema=381,,ns1:381,ns1:381,bibliotecários
http://www.vocabularyserver.com/tbci/?tema=591,,"  bibliotecarios, bibliotecarios catalogadores, bibliotecarios clasific",ns1:591,ns1:591
http://www.vocabularyserver.com/tbci/?tema=590,,ns1:590,  librarians,ns1:590
http://www.vocabularyserver.com/tbci/?tema=592,,ns1:592,ns1:592,bibliotecários de referência
http://www.vocabularyserver.com/tbci/?tema=594,,  bibliotecarios referencistas (UP bibliotecarios de consulta),ns1:594,ns1:594
http://www.vocabularyserver.com/tbci/?tema=593,,ns1:593,  reference librarians,ns1:593
http://www.vocabularyserver.com/tbci/?tema=29,,ns1:29,ns1:29,bibliotecas
http://www.vocabularyserver.com/tbci/?tema=597,,"  bibliotecas, centros de documentación (UP centros de información)",ns1:597,ns1:597
http://www.vocabularyserver.com/tbci/?tema=596,,ns1:596,  libraries (UF information centers (libraries)),ns1:596
http://www.vocabularyserver.com/tbci/?tema=600,,ns1:600,ns1:600,bibliotecas ambulantes
http://www.vocabularyserver.com/tbci/?tema=628,,"bibliotecas ambulantes, cajas viajeras",ns1:628,ns1:628
http://www.vocabularyserver.com/tbci/?tema=627,,ns1:627,mobile libraries,ns1:627
http://www.vocabularyserver.com/tbci/?tema=601,,ns1:601,ns1:601,bibliotecas centrais
http://www.vocabularyserver.com/tbci/?tema=638,,bibliotecas centrales,ns1:638,ns1:638
http://www.vocabularyserver.com/tbci/?tema=637,,ns1:637,central libraries (UF main libraries),ns1:637
http://www.vocabularyserver.com/tbci/?tema=602,,ns1:602,ns1:602,bibliotecas comunitárias
http://www.vocabularyserver.com/tbci/?tema=641,,ns1:641,ns1:641,bibliotecas de empresas
http://www.vocabularyserver.com/tbci/?tema=642,,ns1:642,corporate libraries (UF company libraries),ns1:642
http://www.vocabularyserver.com/tbci/?tema=603,,ns1:603,ns1:603,bibliotecas de pesquisa
http://www.vocabularyserver.com/tbci/?tema=651,,  bibliotecas de investigación (UP bibliotecas científicas),ns1:651,ns1:651
http://www.vocabularyserver.com/tbci/?tema=650,,ns1:650,  research libraries,ns1:650
http://www.vocabularyserver.com/tbci/?tema=604,,ns1:604,ns1:604,bibliotecas de prisões
http://www.vocabularyserver.com/tbci/?tema=653,,  bibliotecas de cárceles,ns1:653,ns1:653
http://www.vocabularyserver.com/tbci/?tema=652,,ns1:652,  prison libraries,ns1:652
http://www.vocabularyserver.com/tbci/?tema=605,,ns1:605,ns1:605,bibliotecas departamentais
http://www.vocabularyserver.com/tbci/?tema=658,,  bibliotecas departamentales,ns1:658,ns1:658
http://www.vocabularyserver.com/tbci/?tema=606,,ns1:606,ns1:606,bibliotecas depositárias
http://www.vocabularyserver.com/tbci/?tema=662,,  bibliotecas depositarias,ns1:662,ns1:662
http://www.vocabularyserver.com/tbci/?tema=661,,ns1:661,  depository libraries,ns1:661
http://www.vocabularyserver.com/tbci/?tema=607,,ns1:607,ns1:607,bibliotecas digitais
http://www.vocabularyserver.com/tbci/?tema=664,,  bibliotecas electrónicas (UP bibliotecas digitales),ns1:664,ns1:664
http://www.vocabularyserver.com/tbci/?tema=663,,ns1:663,  digital libraries,ns1:663
http://www.vocabularyserver.com/tbci/?tema=608,,ns1:608,ns1:608,bibliotecas escolares
http://www.vocabularyserver.com/tbci/?tema=669,,bibliotecas escolares,ns1:669,ns1:669
http://www.vocabularyserver.com/tbci/?tema=668,,ns1:668,media centers,ns1:668
http://www.vocabularyserver.com/tbci/?tema=609,,ns1:609,ns1:609,bibliotecas especializadas
http://www.vocabularyserver.com/tbci/?tema=671,,bibliotecas especializadas,ns1:671,ns1:671
